"sample","outcome_label","outcome_value","prediction","prob0","prob1","biomarkers"
"contact56","stoolneg",1,1,0.44897738620169,0.55102261379831,"vibogaw"
"contact57","stoolneg",1,1,0.274743745165224,0.725256254834777,"vibogaw"
"contact57","stoolneg",1,0,0.512208599467269,0.487791400532731,"Ogvctiter2_new_titers"
"contact58","stoolneg",1,1,0.347853463048819,0.652146536951181,"Ogvctiter2_new_titers"
"contact58","stoolneg",1,0,0.599261577638049,0.400738422361951,"vibogaw"
"contact59","stoolneg",1,1,0.19427380936487,0.80572619063513,"Ogvctiter2_new_titers"
"contact59","stoolneg",1,1,0.343305870466823,0.656694129533177,"vibogaw"
"contact60","stoolneg",1,1,0.428998297630303,0.571001702369697,"Ogvctiter2_new_titers"
"contact60","stoolneg",1,1,0.367558929666824,0.632441070333176,"vibogaw"
"contact61","stoolneg",1,1,0.133777807074247,0.866222192925753,"vibogaw"
"contact61","stoolneg",1,1,0.156344459011061,0.843655540988939,"Ogvctiter2_new_titers"
"contact62","stoolneg",1,1,0.142981176198243,0.857018823801757,"vibogaw"
"contact62","stoolneg",1,1,0.195528680817806,0.804471319182193,"Ogvctiter2_new_titers"
"contact3","stoolneg",1,1,0.355855612133824,0.644144387866176,"Ogvctiter2_new_titers"
"contact3","stoolneg",1,1,0.10505524651647,0.89494475348353,"vibogaw"
"contact4","stoolneg",1,0,0.639610521929911,0.360389478070089,"Ogvctiter2_new_titers"
"contact4","stoolneg",1,0,0.594826776551623,0.405173223448378,"vibogaw"
"contact63","stoolneg",1,0,0.532252760281515,0.467747239718485,"vibogaw"
"contact63","stoolneg",1,0,0.600595314218806,0.399404685781194,"Ogvctiter2_new_titers"
"contact5","stoolneg",1,1,0.434471309628624,0.565528690371376,"vibogaw"
"contact5","stoolneg",1,1,0.394365122820077,0.605634877179923,"Ogvctiter2_new_titers"
"contact64","stoolneg",0,0,0.651166741501533,0.348833258498467,"Ogvctiter2_new_titers"
"contact64","stoolneg",0,0,0.677438794848083,0.322561205151917,"vibogaw"
"contact65","stoolneg",1,1,0.261248642250422,0.738751357749578,"Ogvctiter2_new_titers"
"contact65","stoolneg",1,1,0.312656695312771,0.687343304687229,"vibogaw"
"contact66","stoolneg",1,0,0.602080111112658,0.397919888887342,"Ogvctiter2_new_titers"
"contact66","stoolneg",1,1,0.428254429402727,0.571745570597273,"vibogaw"
"contact67","stoolneg",1,1,0.379792066580651,0.620207933419349,"Ogvctiter2_new_titers"
"contact67","stoolneg",1,1,0.204941145571835,0.795058854428165,"vibogaw"
"contact68","stoolneg",1,1,0.200325428780886,0.799674571219115,"Ogvctiter2_new_titers"
"contact68","stoolneg",1,1,0.154035147596642,0.845964852403358,"vibogaw"
"contact69","stoolneg",0,1,0.407480991273949,0.592519008726051,"Ogvctiter2_new_titers"
"contact69","stoolneg",0,1,0.441537054118054,0.558462945881946,"vibogaw"
"contact70","stoolneg",1,1,0.204881110929834,0.795118889070166,"Ogvctiter2_new_titers"
"contact70","stoolneg",1,1,0.207477362970707,0.792522637029292,"vibogaw"
"contact71","stoolneg",0,0,0.500307620582893,0.499692379417107,"Ogvctiter2_new_titers"
"contact71","stoolneg",0,1,0.456187852670207,0.543812147329793,"vibogaw"
"contact72","stoolneg",0,1,0.439869082791993,0.560130917208007,"vibogaw"
"contact72","stoolneg",0,1,0.212811003693589,0.787188996306411,"Ogvctiter2_new_titers"
"contact73","stoolneg",1,1,0.386998154953922,0.613001845046079,"vibogaw"
"contact73","stoolneg",1,0,0.540414838081596,0.459585161918404,"Ogvctiter2_new_titers"
"contact74","stoolneg",1,1,0.284206248159305,0.715793751840695,"vibogaw"
"contact74","stoolneg",1,1,0.388560056880684,0.611439943119316,"Ogvctiter2_new_titers"
"contact75","stoolneg",1,1,0.314023958123919,0.685976041876081,"vibogaw"
"contact75","stoolneg",1,0,0.534325561598705,0.465674438401295,"Ogvctiter2_new_titers"
"contact76","stoolneg",1,0,0.533053813609852,0.466946186390148,"vibogaw"
"contact76","stoolneg",1,0,0.677970185318638,0.322029814681362,"Ogvctiter2_new_titers"
"contact77","stoolneg",1,1,0.328792650534021,0.671207349465979,"vibogaw"
"contact77","stoolneg",1,1,0.301152666296552,0.698847333703449,"Ogvctiter2_new_titers"
"contact78","stoolneg",1,1,0.282507692887609,0.717492307112391,"Ogvctiter2_new_titers"
"contact78","stoolneg",1,1,0.204187915253822,0.795812084746178,"vibogaw"
"contact79","stoolneg",1,1,0.0984590235916475,0.901540976408352,"vibogaw"
"contact79","stoolneg",1,1,0.447875157883054,0.552124842116946,"Ogvctiter2_new_titers"
"contact80","stoolneg",0,1,0.412609286868962,0.587390713131038,"Ogvctiter2_new_titers"
"contact80","stoolneg",0,1,0.378025440593979,0.621974559406021,"vibogaw"
"contact81","stoolneg",0,0,0.50846743572475,0.491532564275249,"Ogvctiter2_new_titers"
"contact81","stoolneg",0,1,0.296822827782813,0.703177172217187,"vibogaw"
"contact82","stoolneg",1,1,0.427308063376253,0.572691936623747,"vibogaw"
"contact82","stoolneg",1,1,0.360844912345997,0.639155087654003,"Ogvctiter2_new_titers"
"contact83","stoolneg",1,0,0.552494690655063,0.447505309344937,"vibogaw"
"contact83","stoolneg",1,0,0.59980768965297,0.40019231034703,"Ogvctiter2_new_titers"
"contact84","stoolneg",1,1,0.103235296166682,0.896764703833318,"vibogaw"
"contact84","stoolneg",1,1,0.349551786612081,0.650448213387919,"Ogvctiter2_new_titers"
"contact85","stoolneg",0,0,0.529989211519476,0.470010788480525,"Ogvctiter2_new_titers"
"contact85","stoolneg",0,1,0.456418236527835,0.543581763472165,"vibogaw"
"contact86","stoolneg",0,0,0.503986045761085,0.496013954238915,"vibogaw"
"contact86","stoolneg",0,1,0.377053798141144,0.622946201858857,"Ogvctiter2_new_titers"
"contact217","stoolneg",1,1,0.4584615415759,0.5415384584241,"vibogaw"
